,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
463,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",3,83,,Planta 2ª exterior con ascensor,"PISO TODO EXTERIOR CON BALCÓN JUNTO A CONSUM Y AMBULATORIO
Por petición expresa de la propiedad, no se van a publicar imágenes de la vivienda.
Se vende luminoso piso todo exterior, con un amplio balcón, ideal para disfrutar de las vistas a la calle y de momentos al aire libre. La ubicación es excelente, a un paso de",[],No,129500
464,Piso en calle del Mestre Ramón Ramia Querol,Centro Ciudad,Paterna,Piso,"Piso en calle del Mestre Ramón Ramia Querol, Centro Ciudad, Paterna",3,98,,Planta 3ª exterior con ascensor,"Piso de 3 habitaciones, dos cuartos de baño, salón y cocina. Piso exterior, con balcón. Plaza de garaje incluida en el precio. Finca de 2008.
Agente inmobiliario registrado con el nº 1007 en el Registro de Agentes Inmobiliarios de la Comunidad Valenciana, según decreto 98/2022 de 29 de julio del Consell, por el que se",[],Sí,250000
465,Piso en calle de Francisco Valldecabres,El Mercado,Manises,Piso,"Piso en calle de Francisco Valldecabres, 30, El Mercado, Manises",2,43,,Planta 3ª sin ascensor,"Oportunidad sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en Manises, Valencia. Cuenta con una superficie de 43,80 m² distribuidos en diferentes estancias. Se localiza en la tercera planta de u",[],No,29000
466,Casa o chalet independiente en Riba-Roja,de Túria,Manises,Chalet,Casa o chalet independiente en Riba-Roja de Túria,7,199,,,"Magnifico chalet en Urb. Els Pous con parcela de 664m2, vivienda de 150m2 completamente reformada en dos plantas, en planta de entrada, dispone de terraza amplia, gran salón comedor con chimenea, cocina, baño completo y 2 habitaciones con armarios empotrados, en planta primera, dispone de 5 habitaciones con armarios em",[],Sí,280000
467,Chalet en Centro Ciudad,Chalet en Centro Ciudad,Paterna,Chalet,"Chalet en Centro Ciudad, Paterna",4,350,2.0,,"Casa en venta en zona Centro de Paterna. Con una superficie total de 350 m² y una superficie solar de 206 m², esta propiedad cuenta con 4 habitaciones dobles, 3 armarios empotrados, 2 baños, 1 aseo, aire acondicionado y chimenea también contiene ventanas mallorquinas y puertas en madera de mobila. Dispone de cocina, co",[],Sí,385000
468,Piso en calle de les Eres,Centro Ciudad,Paterna,Piso,"Piso en calle de les Eres, Centro Ciudad, Paterna",2,66,,,"SOLO INVERSORES - INMUEBLE ALQUILADO
Rentabilidad: 8,81 %
Inicio del contrato: 07/07/2024
Fin del contrato: 07/07/2025
Renta: 550 €
Propiedad con inquilino construida en el 1964 en Paterna, Valencia. El piso se encuentra en la planta baja, cuenta con 57,39m2 útiles, distribuidos en vestíbulo, salón-comedor, cocina, 2",[],No,74900
469,Piso en calle de Salvador Ferrandis Luna,El Alborgí,Paterna,Piso,"Piso en calle de Salvador Ferrandis Luna, 56, El Alborgí, Paterna",2,63,,Planta 5ª sin ascensor,"Oportunidad sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en Valencia (Valencia). Cuenta con una superficie de 63 m² distribuidos en dos dormitorios y un baño. Se localiza en un edificio reside",[],No,51000
470,Chalet adosado en calle Església,Chalet adosado en calle Església,Aldaia,Chalet,"Chalet adosado en calle Església, Aldaia",3,252,,,"Chalet adosado en venta en Calle Església – Aldaia
Precio: 180.000 €
¡Oportunidad única en el centro de Aldaia!
Esta casa de pueblo está ubicada en la calle principal de la localidad, con excelente comunicación y a solo 10 minutos de Valencia. Rodeada de todos los servicios esenciales como mercados, transporte público",[],Sí,180000
471,Chalet en El Alborgí,Chalet en El Alborgí,Paterna,Chalet,"Chalet en El Alborgí, Paterna",1,167,,,"Casa solar en venta en la zona Centro, para reformar totalmente. Cuenta con una superficie total de 167 m², presenta un ancho de 11 m y está orientada al sur, lo que le proporciona una excelente luminosidad, con un patio de 5m². El estado de conservación es a reformar, lo que brinda la oportunidad de adaptarla según gu",[],Sí,189000
472,Piso en avenida Blasco Ibáñez,Centro Ciudad,Manises,Piso,"Piso en avenida Blasco Ibáñez, Centro Ciudad, Manises",1,71,,Planta 5ª sin ascensor,"Oportunidad sólo para inversores. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de segunda mano en venta en Manises, Valencia.Se trata de un piso de 71 m² distribuidos en varias dependencias.La vivienda se sitúa en el núcleo de la población, teniendo buenos accesos por carretera.",[],No,85000
473,Chalet en calle del Santíssim Crist de la Fe,Centro Ciudad,Paterna,Chalet,"Chalet en calle del Santíssim Crist de la Fe, Centro Ciudad, Paterna",4,200,2.0,,"Esta espaciosa casa en venta se encuentra en la zona de Centre en Paterna. Con una superficie total de 200 m² y 170 m² de superficie útil, esta propiedad cuenta con 1 habitación individual y 3 habitaciones dobles, 2 baños, calefacción de gas natural, garaje, terraza y mucho más. La casa, con una antigüedad de más de 50",[],Sí,376000
474,Piso en avenida Rei en Jaume,El Alborgí,Paterna,Piso,"Piso en avenida Rei en Jaume, 2 -10, El Alborgí, Paterna",4,135,1.0,Planta 3ª con ascensor,"Oportunidad sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de segunda mano en venta situado en Paterna (Valencia). Cuenta con una superficie de 135 m² distribuidos en 4 dormitorios y 1 baño. Se localiza en la tercera planta de u",[],No,80000
475,Piso en Grupo de la Mercé,Centro Ciudad,Paterna,Piso,"Piso en Grupo de la Mercé, 2, Centro Ciudad, Paterna",2,65,1.0,Planta 1ª sin ascensor,"Oportunidad sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en Paterna, Valencia. Cuenta con una superficie de 65 m² distribuidos en 2 dormitorios y 1 baño. Se localiza en la primera planta de un",[],No,44000
476,Piso en calle del Trinquet,Centro Ciudad,Manises,Piso,"Piso en calle del Trinquet, 18, Centro Ciudad, Manises",3,116,,Planta 2ª exterior con ascensor,"Es una vivienda reformada con muy poco pasillo, por lo que el espacio esta muy bien aprovechado. Suelo de parqué, aire acondicionado por conductos, radiadores, vestidor en la habitación principal. El piso se vende con plaza de garage y trastero. En la zona común hay una piscina y zona de terraza para disfrutar con los",[],Sí,258000
477,Dúplex en calle del Cid,Santa Rita,Paterna,,"Dúplex en calle del Cid, Santa Rita, Paterna",2,118,,,"Se vende piso en Paterna en finca seminueva. La vivienda dispone de 2 habitaciones, una dobla y la otra sencilla con un despacho. Tiene dos baños, uno completo con bañera y otro aseo. Cocina totalmente equipada abierta al salón.
El piso se encuentra en una ubicación dotada de todos los servicios: colegio, supermercados",[],Sí,175000
478,Casa o chalet independiente en calle 606,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 606, La Cañada, Paterna",5,303,,,"Buena oportunidad para vivir en Montecañada.
Se trata de un chalet de 300m², en una parcela de 1.448m², con salida a dos calles.
El chalet está para reformar. Hay opción de venderlo con la mitad de la parcela.
Tiene una ubicación perfecta para vivir todo el año, tranquila, y cerca de restaurantes, colegios, superm",[],No,550000
479,Piso en Cueva Santa,El Mercado,Manises,Piso,"Piso en Cueva Santa, El Mercado, Manises",3,100,,Planta 2ª exterior sin ascensor,"M. VALENZUELA CONSULTORES vende este INCREÍBLE PISO REFORMADO POR COMPLETO
En una de las zonas con mayor demanda en Manises
Nuestra vivienda dispone de 100 metros cuadrados catastrales distribuidos de la siguiente manera: Amplio y luminoso Salón con Balcón, Cocina muy amplia con mesa para poder comer, 1 Cuarto de Baño",[],No,129000
480,Piso en calle les Comares,Piso en calle les Comares,Quart de Poblet,Piso,"Piso en calle les Comares, Quart de Poblet",3,82,,Planta 4ª exterior sin ascensor,"¡Descubre tu nuevo hogar en Quart de Poblet! Este encantador piso de 82 m² construidos y 75 m² útiles te ofrece un espacio acogedor y funcional, ideal para disfrutar de la vida urbana. Con tres dormitorios y un baño completo, este piso se presenta completamente amueblado, listo para que te instales sin preocupaciones.",[],No,120000
482,Piso en calle del Cid,Piso en calle del Cid,Aldaia,Piso,"Piso en calle del Cid, Aldaia",3,103,,Planta 1ª con ascensor,"Vivienda en el municipio de Aldaia, provincia de Valencia. El inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares características. Cuenta con fácil acceso a la carretera y otros nudos de comunicación. Cercano a establecimientos y comercios de la zona. - El inmueble se encuentra",[],Sí,64000
483,Piso en Quart,de Poblet,Manises,Piso,Piso en Quart de Poblet,2,70,,Planta 5ª exterior sin ascensor,"¡Atención inversores! PISO CON INQUILINO! Esta es tu oportunidad para adquirir un inmueble con una rentabilidad asegurada. Este encantador piso en venta se encuentra estratégicamente ubicado en Quart de Poblet, justo frente al ambulatorio, lo que garantiza una constante demanda de alquiler. ¿La mejor parte? ¡Ya cuenta",['Alquilada'],No,86000
484,Chalet adosado en Centro Ciudad,Chalet adosado en Centro Ciudad,Manises,Chalet,"Chalet adosado en Centro Ciudad, Manises",4,200,,,"ALCANTARA SANDOVAL DISPONE PARA SU VENTA: VIVIENDA UNIFAMILIAR SEMI-NUEVA
El inmueble de 200 m2. construidos se distribuye en tres plantas
PLANTA BAJA:
* Recibidor con acceso a garaje para dos coches de 43 m2. y acceso directo a la vivienda
* Aseo
1. - PRIMERA PLANTA:
* Amplio salón
* Cocina office
* Una habitación",[],Sí,295000
485,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",4,96,,Planta 1ª exterior sin ascensor,"¡Oportunidad única en el corazón de la ciudad! Este encantador piso en primera planta sin ascensor, con aproximadamente 90 m² útiles, te sorprenderá con sus amplios espacios y su luminosidad. Consta de 4 habitaciones, dos de ellas dobles y dos sencillas, ideales para familias numerosas o para quienes necesitan espacio",[],No,146000
486,Piso en calle Riu Vinalopo,1,Aldaia,Piso,"Piso en calle Riu Vinalopo, 1, Aldaia",3,99,2.0,Planta 4ª exterior con ascensor,"Venta de piso en cuarta altura en zona muy próxima al C. C.
Bon Aire, con 3 dormitorios, 2 baños completos, armarios empotrados, cocina con galeria, calefacción centralizada por radiadores en toda la vivienda, balcon, todo exterior, amplio comedor, muy luminoso, plaza de garaje incluida en el precio.",['Alquilada'],Sí,160000
487,Casa o chalet independiente,en Aldaia,Manises,Chalet,Casa o chalet independiente en Aldaia,4,292,,,"Inmueble alquilado y sin acceso al interior. Las fotografías del interior pueden no ajustarse al estado actual. ¿Estás interesado en comprar una vivienda en Aldaia?
¡Tenemos en exclusiva una vivienda para ti!
Disponemos de una vivienda que puedes adquirir en propiedad, muy bien distribuida y con distintas dependencia",[],No,265000
488,Piso en calle Virgen de Loreto,Piso en calle Virgen de Loreto,Quart de Poblet,Piso,"Piso en calle Virgen de Loreto, Quart de Poblet",3,119,1.0,Planta 2ª sin ascensor,"Piso a reformar de 119 m², de 3 dormitorios y 1 baños, en venta en Quart de Poblet, Valencia. Se trata de un piso de 119 m² distribuidos en salón-comedor, cocina, 3 dormitorios y 1 baños. La vivienda se sitúa en el extrarradio de la población, teniendo buenos accesos por carretera. En la población podemos encontrar ser",[],No,44000
489,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",4,97,1.0,,"Fantástico piso de 4 habitaciones y 1 baño, en Manises.
97 m2 construidos.
No dispone de ascensor.
Suelo de granito, ventanas climalit y puertas de madera.
Amueblado negociable.
NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.
Daurum Estate ofrece conseguir la mejor financiación a su",[],No,146000
493,Piso en calle de les Eres,Centro Ciudad,Paterna,Piso,"Piso en calle de les Eres, Centro Ciudad, Paterna",3,104,,Planta 3ª con ascensor,"“Oportunidad sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.”Piso de 104 m² de 3 dormitorios situado en la localidad de Paterna, provincia de Valencia. Construido en 1989, este piso cuenta con una superficie de 104 m² y se distribuye",[],No,88200
494,Piso en Quart,de Poblet,Manises,Piso,Piso en Quart de Poblet,2,90,,,"Vivienda en planta baja en edificio histórico en zona Ayuntamiento de Quart de Poblet.
El inmueble dispone de 90 m² construidos más una terraza de 10m2. La planta baja cuenta con una amplia sala diáfana, un baño y 2 habitaciones (una de ellas con acceso desde la terraza).
Una vez reformado, este inmueble ofrece nume",[],No,130000
495,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",3,102,,Planta 3ª exterior sin ascensor,"Presentamos una oportunidad excepcional para adquirir un magnífico piso en el corazón de Manises, en una de las zonas más demandadas y en constante crecimiento. Este amplio y luminoso piso con una superficie de 102 m², se sitúa en la tercera planta en un edificio de cuatro alturas que no dispone de ascensor.
La propie",[],No,155000
496,Piso en Santa Rita,Piso en Santa Rita,Paterna,Piso,"Piso en Santa Rita, Paterna",3,99,,Planta 4ª exterior con ascensor,"***EXPERCASA PATERNA*** Les presenta en EXCLUSIVA esta encantadora vivienda, ubicada en una cuarta planta de un edificio con ascensor, ofrece una distribución funcional y espacios diseñados para disfrutar de la máxima comodidad y calidad de vida.
La propiedad cuenta con 109m2 distribuidos en salón-comedor, cocina con",[],No,165000
497,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",3,96,,Planta 5ª exterior con ascensor,"¡Tu próximo hogar en el corazón de Manises te espera! Este luminoso piso de 96 m² en la zona El Mercado está listo para entrar a vivir.
Distribución y características:
•3 habitaciones muy bien distribuidas
•Un baño completo
•Amplio salón comedor con Balcón
•Cocina equipada
Extras que marcan la diferencia:
•Aire acond",[],No,140000
498,Piso en calle Juan Ramón Jiménez,Piso en calle Juan Ramón Jiménez,Aldaia,Piso,"Piso en calle Juan Ramón Jiménez, Aldaia",3,100,,Planta 1ª exterior con ascensor,"OKHOME pone a su disposición una estupenda y luminosa vivienda.
Excelente vivienda de 100m2 en primera planta, muy luminosa, con una excelente terraza de 100m2 chapada con caravista manual, dotado de una habitación doble en suite con vestidor y salida a terraza, una habitación doble con baño, y una habitación sencilla",[],No,180000
499,Piso en Els Molins,Piso en Els Molins,Paterna,Piso,"Piso en Els Molins, Paterna",3,162,,Planta 2ª exterior con ascensor,"***EXPERCASA PATERNA*** Les ofrece esta magnífica casa de tres plantas ubicada en una de las mejores zonas de Paterna. La vivienda combina espacios amplios, acabados de alta calidad y una ubicación estratégica cercana a todos los servicios necesarios para la vida diaria.
Cuenta con 162m2 construidos y distribuidos en",[],Sí,299000
500,Ático,en Aldaia,Manises,,Ático en Aldaia,3,126,3.0,,"Estupendo ático dúplex en la mejor zona de Aldaya
Urban Mediterránea: Te ofrece este magnífico ático dúplex en una cuarta altura del año 2000, incluye trastero, SIN GARAJE, en la Plaza Europa, Aldaia.
La vivienda está distribuida en más de 126 metros cuadrados y cuenta con 3 habitaciones y 3 baños, uno con plato de du",[],No,230000
502,Piso en El Alborgí,Piso en El Alborgí,Paterna,Piso,"Piso en El Alborgí, Paterna",1,82,,,"*** EXPERCASA PATERNA*** Les ofrece en EXCLUSIVA este magnífico bajo reformado a pie de calle, con posibilidad de CAMBIO DE USO A VIVIENDA.
El bajo cuenta con 82m² construidos según catastro con amplia fachada y escaparate y además dispone de aseo reformado. Un punto a destacar es su versatilidad, ya que tiene la posi",[],No,79000
503,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",2,58,,Planta 3ª interior sin ascensor,"Descubre tu nuevo hogar en este encantador y acogedor piso de 58 m², una joya que combina funcionalidad, estilo y confort. Ideal para aquellos que buscan un espacio moderno y práctico sin renunciar a la comodidad.
Características principales:
2 Dormitorios: Un amplio dormitorio principal y un segundo dormitorio versá",[],No,119500
504,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",2,80,,,"***EXPERCASA PATERNA*** Les presenta en exclusiva este magnífico bajo completamente reformado a estrenar en Campamento.
Este espectacular bajo cuenta con 80m2 y es ideal para quienes buscan comodidad, diseño moderno y una excelente ubicación. La vivienda cuenta con dos amplias habitaciones dobles que ofrecen un espaci",[],No,159500
505,Piso en calle de Federico García Lorca,Centro Ciudad,Paterna,Piso,"Piso en calle de Federico García Lorca, Centro Ciudad, Paterna",3,62,1.0,Planta 2ª sin ascensor,"Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso en la localidad de Paterna, Valencia. Se trata de un piso de 62 m² distribuidos en salón-comedor, cocina, 3 dormitorios y 1 baño. Las comun",[],No,37000
507,Piso en calle Ribarroja,Centro Ciudad,Manises,Piso,"Piso en calle Ribarroja, Centro Ciudad, Manises",1,68,,Planta 4ª exterior sin ascensor,ATENCIÓN! OPORTUNIDAD ÚNICA! Terreta Homes inmobiliaria tiene el placer de ofrecer este fantástico ESTUDIO totalmente REFORMADO integralmente y EQUIPADO en una de las mejores zonas de Manises y de más alta demanda en la actualidad! Ubicado en CARRETERA RIBARROJA 1. Zona de gran crecimiento y consolidación en Manises. ¿,[],No,114999
509,Chalet en El Alborgí,Chalet en El Alborgí,Paterna,,"Chalet en El Alborgí, Paterna",4,100,1.0,,"BAJO DE CASA en venta en Paterna en la zona de Alborgí. Con una superficie total de 100 m² y 76 m² útiles, esta vivienda cuenta con 4 habitaciones, 2 sencillas, 2 dobles, 1 baño, esta propiedad se encuentra en estado a reformar. La casa dispone de cocina, comedor, lavadero, una soleada terraza de 6m² y un patio de 31m²",[],No,129000
510,Piso en Centro Ciudad,Piso en Centro Ciudad,Manises,Piso,"Piso en Centro Ciudad, Manises",4,96,1.0,Planta 1ª exterior sin ascensor,"ARKIA Inmuebles & Arquitectura te ofrece PISO EN VENTA en MANISES - CENTRO CIUDAD.
PISO MUY AMPLIO Y LUMINOSO EXTERIOR A LA CALLE CON AMPLIA TERRAZA.
MARAVILLOSO PISO de 96 metros cuadrados aproximadamente (según catastro). 1ª Altura. Consta de 4 dormitorios amplios, 1 baño completo con bañera, cocina independiente co",[],No,146000
511,Piso en calle Sant Salvador,Centro Ciudad,Paterna,Piso,"Piso en calle Sant Salvador, Centro Ciudad, Paterna",3,117,,Planta 3ª exterior con ascensor,"Vivienda reformada en venta!
Gedeval pone a su disposición espectacular vivienda totalmente reformada en venta en Paterna, en una ubicación fantástica.
La ubicación del inmueble es inmejorable, muy bien comunicado, se encuentra a 5 minutos del metro de la estación de Paterna, al lado de zonas ajardinadas con parques",[],No,210000
512,Piso en El Alborgí,Piso en El Alborgí,Paterna,Piso,"Piso en El Alborgí, Paterna",3,147,2.0,Planta 1ª exterior con ascensor,"Piso en venta en la zona Centro de Paterna. Con una superficie total de 147 m², esta vivienda es un primer piso con ascensor cuenta con 3 habitaciones( 2 de ellas dobles), 2 baños completos con duchas y ofrece comodidades como balcón, calefacción de gas natural, cocina completa, 2 terrazas, soleada orientada al sur 20m",[],No,195000
514,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",1,56,,,"Este encantador piso en planta baja, situado en la zona El Mercado de Manises, te ofrece una oportunidad única de disfrutar de un espacio moderno, recién reformado con un gusto exquisito y detalles de lujo. Con 56 m² de superficie y una espectacular terraza interior de 40 m², este hogar es ideal para quienes buscan un",[],No,140000
515,Casa o chalet independiente en Riba-Roja,de Túria,Manises,Chalet,Casa o chalet independiente en Riba-Roja de Túria,4,175,2.0,,"Se vende espectacular chalet en Ribarroja del Turia. Este chalet cuneta con una parcela de 5.900M2, 556M2 construidos y 175M2 de vivienda. La vivienda tiene dos plantas más una amplia terraza. El chalet cuenta con un gran salón-comedor con chimenea, cocina, 4 habitaciones, 2 baños y 1 aseo. Cuenta con aire acondicionad",[],Sí,375000
516,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",4,120,,Planta 2ª exterior con ascensor,"Stockinmuebles presenta esta vivienda lista para vivir. Oportunidad única de empezar una nueva vida en una de las zonas con más demanda de toda Manises.
Vivienda en segunda planta con ascensor. Edificio del año 1977. Tiene 120m2. Su distribución cuenta con cuatro habitaciones, dos baños con ducha, un amplio salón comed",[],No,170000
521,Piso en calle Masia de la Cova,Centro Ciudad,Manises,Piso,"Piso en calle Masia de la Cova, Centro Ciudad, Manises",4,98,,Planta 1ª exterior con ascensor,"¡Descubre tu nuevo hogar en el corazón de Manises! Este encantador piso esquinero, ubicado en una zona familiar y tranquila, te ofrece la comodidad de vivir junto a la parada de metro y rodeado de todos los servicios necesarios para tu día a día. Con 98 m² construidos y 90 m² útiles, esta vivienda de segunda mano en bu",[],No,190000
523,Piso en San Vicente,Piso en San Vicente,Aldaia,Piso,"Piso en San Vicente, Aldaia",2,75,,Planta 4ª exterior sin ascensor,"Tipo de propiedad: Piso/apartamento de 2 dormitorios.
Estado: Perfecto estado y recientemente reformado.
Inquilinos: Estables, en residencia durante 2 años y sin deudas pendientes.
Espacios: Comedor, cocina, tres dormitorios y cuarto de baño.
Balcón: Disfruta de un balcón para momentos de relax.
Año construcción: 1969.",['Alquilada'],No,90000
554,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",5,297,,,"Con una excelente ubicación y una parcela privada esquinera presentamos esta propiedad.
Como construcción principal dos fabulosas plantas de aproximadamente 170 m²; nos recibe una amplia terraza, salón y sala de estar mas la comodidad de una habitación en planta con baño completo, cocina office y un aseo de cortesía,",[],Sí,450000
556,Chalet en La Cañada,Chalet en La Cañada,Paterna,,"Chalet en La Cañada, Paterna",2,73,,,"Chalet céntrico.
Dos cómodas estancias dividen de este acogedor salón, luminoso y con chimenea, dos habitaciones, un baño y cocina. Calefacción central y rejas en todas las ventanas.
En el exterior dos amplias estancias, una de ellas con posibilidad de instalar cocina de verano, la otra dispone de un espacio diáfano y",[],No,260000
557,Piso en La Cañada,Piso en La Cañada,Paterna,Piso,"Piso en La Cañada, Paterna",5,240,,,"Venta de edificio, en su totalidad, en La Cañada.
Excelente situación en el centro del pueblo, próximo al metro, comercios, hospital y colegios.
Consta de:
* PLANTA BAJA (70 m2):
Actualmente consta de un baño, estanterías para trastero, toma de lavadora y fregadero.
Con capacidad para dos coches.
Idóneo para usarlo c",[],No,510000
558,Casa o chalet independiente en Quart,de Poblet,Manises,Chalet,Casa o chalet independiente en Quart de Poblet,3,265,,,"Disponemos en EXCLUSIVA de una CASA INDEPENDIENTE EN DOS ALTURAS, LA PANTA BAJA TIENE 153 METROS es diáfana con muchísimas posibilidades, la PLANTA SEGUNDA TIENE 112 METROS, una parte es vivienda y otra TERRAZAS al descubierto.
El inmueble se encuentra en una de las mejores zonas de Quart, pegado al parque el MOLÍ rod",[],Sí,250000
559,Chalet adosado en reis catolics,s/n,Quart de Poblet,,"Chalet adosado en reis catolics, s/n, Quart de Poblet",4,89,,,"Quatre Torres dispone a la venta en EXCLUSIVA CASA DE PUEBLO en suelo Urbano en QUART DE POBLET.
¿BUSCAS UNA VIVIENDA INDEPENDIENTE?
Casa de pueblo de 2 alturas CON UNA OBRA INACABADA, para reformar a tu gusto con una construcción de 89m2 edificables.
Actualmente la vivienda dispone de 2 alturas distribuidas de la",[],Sí,89990
560,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,3,108,,Planta 5ª exterior con ascensor,"TECNOCASA ALDAIA gestiona en EXCLUSIVA - EXTERIOR con VISTAS DESPEJADAS
Piso en venta: excelente oportunidad de inversión en una vivienda amplia y luminosa, ubicada en una zona privilegiada. Este inmueble cuenta con tres dormitorios dobles, ideales para el descanso y la comodidad familiar, así como para aquellos que b",[],No,147500
561,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,380,,,"Nova Cañada Inmobiliaria le presenta esta gran villa en La Cañada, con 2.800 m2 de parcela y 380 m2 de superficie construida.
La edificación principal, de 240 m2 y de muy buena construcción, cuenta en planta baja con un gran recibidor, un enorme salón, un impresionante comedor, un cocina actualizada con zona office, u",['Villa'],Sí,1200000
562,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,174,2.0,,"Nova Cañada Inmobiliaria le presenta este bonito chalet de una planta, en una ubicación inmejorable, El Plantío, La Cañada, con una parcela de 940 m2.
La vivienda cuenta con 4 dormitorios, 2 baños completos, uno de ellos en suite, cocina abierta con comedor y sala de té, un salón y un estudio.
Dispone de calefacción",[],Sí,700000
563,Casa o chalet independiente,en Aldaia,Manises,Chalet,Casa o chalet independiente en Aldaia,4,110,,,"Ven a descubrir lugares que esconden sorpresas muy cerca de ti, si estás en búsqueda de un hogar independiente y te apetece disponer de un oasis sin escaleras en la población de aldia, lo acabas de encontrar, vivienda de 4 habitaciones, dos salones, cocina independiente un baño y una espectacular terraza con zonas de a",[],No,330000
564,Ático,en Aldaia,Manises,,Ático en Aldaia,3,112,,Planta 2ª exterior con ascensor,"Ático- Dúplex del año 2006, en la zona nueva del Barrio del Cristo (Aldaya), exterior con gran terraza en planta alta (ultimo piso) con barbacoa y entrada desde la cocina de 30 metros y salón comedor. En esta misma planta hay también un baño con ducha
La Planta baja, a la que se accede desde el patio, consta de 3 habi",[],No,190000
565,Casa o chalet independiente en Centro Ciudad,Casa o chalet independiente en Centro Ciudad,Manises,Chalet,"Casa o chalet independiente en Centro Ciudad, Manises",2,134,,,"Este casa a reformar se encuentra en Manises, Valencia, en la zona del CASCO ANTIGUO. Es un casa baja que tiene 200 m2, aproximadamente de solar, construida en una sola altura necesitando reforma integral consta de 2 habitaciones, salón comedor con chimenea, habitación auxiliar junto salon, aseo, cocina, patio descubie",['Casa baja'],No,150000
566,Casa o chalet independiente en Centro Ciudad,Casa o chalet independiente en Centro Ciudad,Manises,Chalet,"Casa o chalet independiente en Centro Ciudad, Manises",3,309,,,"M. VALENZUELA CONSULTORES PRESENTA ESTA FANTÁSTICA CASA i
Presentamos esta increíble casa en el centro del pueblo, la casa consta de tres plantas, entramos en un HALL muy grande con acceso al garaje compartido con la casa de al lado, pero cada uno con acceso independiente a su propiedad, subimos a la segunda planta, q",[],Sí,420000
567,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",3,308,,,"¡Excelente opción! Presentamos una gran vivienda en perfecto estado de conservación, ideal para quienes buscan confort y amplitud en su hogar.
Características Generales:
Amplitud y Luz Natural: La vivienda cuenta con amplias estancias que reciben abundante luz natural, creando un ambiente cálido y acogedor.
Gran Coci",['Villa'],Sí,790000
568,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,3,87,,,"Disponemos de un bajo vivienda en Aldaia, adaptado a movilidad reducida, con tres habitaciones dobles, un baño, cocina independiente, y patio interior, la vivienda esta reformada solo necesitaría pintura, limpieza y algunos retoques de adaptación y personalización, la ubicación es excelente, con todo a mano, colegios,",[],No,160000
569,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,3,115,,Planta 2ª exterior sin ascensor,"Disponible en OKHOME. Espectacular vivienda reformada en BARRIO DEL CRISTO, incluye muebles.
Situada en un segundo piso, no dispone de ascensor.
Con acabados de alta calidad, como puertas de roble, suelos de gres y ventanas de climalit, esta casa destaca por su luminosidad y confort. La habitación doble en suite, con",[],No,145000
570,Casa o chalet independiente en avenida de Pérez Galdós,Centro Ciudad,Paterna,Chalet,"Casa o chalet independiente en avenida de Pérez Galdós, Centro Ciudad, Paterna",5,268,,,,[],No,425000
